subsampling,Acc,clusters,method
geo,0.5210526315789473,15,2
hop,0.7294736842105263,15,2
iid,0.7489473684210526,15,2
kh,0.8115789473684212,15,2
geo,0.6047368421052631,30,2
hop,0.6978947368421052,30,2
iid,0.7931578947368421,30,2
kh,0.7926315789473685,30,2
geo,0.7510526315789473,50,2
hop,0.8757894736842106,50,2
iid,0.8021052631578947,50,2
kh,0.8331578947368421,50,2
geo,0.5836842105263158,15,2
hop,0.6968421052631579,15,2
iid,0.7810526315789474,15,2
kh,0.791578947368421,15,2
geo,0.7089473684210527,30,2
hop,0.7921052631578946,30,2
iid,0.7921052631578946,30,2
kh,0.8236842105263158,30,2
geo,0.7494736842105263,50,2
hop,0.8857894736842106,50,2
iid,0.8036842105263158,50,2
kh,0.8557894736842104,50,2
geo,0.5121052631578947,15,2
hop,0.6573684210526316,15,2
iid,0.7705263157894737,15,2
kh,0.8536842105263158,15,2
geo,0.7073684210526315,30,2
hop,0.7494736842105263,30,2
iid,0.76,30,2
kh,0.8131578947368421,30,2
geo,0.7721052631578947,50,2
hop,0.8552631578947368,50,2
iid,0.7910526315789473,50,2
kh,0.8236842105263158,50,2
geo,0.6357894736842106,15,2
hop,0.6863157894736842,15,2
iid,0.7505263157894737,15,2
kh,0.791578947368421,15,2
geo,0.7089473684210527,30,2
hop,0.7721052631578947,30,2
iid,0.7610526315789473,30,2
kh,0.8321052631578947,30,2
geo,0.718421052631579,50,2
hop,0.8542105263157895,50,2
iid,0.8542105263157895,50,2
kh,0.8857894736842106,50,2
geo,0.6152631578947368,15,2
hop,0.7705263157894737,15,2
iid,0.8221052631578948,15,2
kh,0.7705263157894737,15,2
geo,0.7489473684210526,30,2
hop,0.7405263157894737,30,2
iid,0.6973684210526316,30,2
kh,0.8426315789473684,30,2
geo,0.6994736842105264,50,2
hop,0.8342105263157894,50,2
iid,0.791578947368421,50,2
kh,0.8136842105263158,50,2
geo,0.6468421052631579,15,2
hop,0.7410526315789474,15,2
iid,0.7810526315789474,15,2
kh,0.801578947368421,15,2
geo,0.6973684210526316,30,2
hop,0.7805263157894736,30,2
iid,0.7805263157894736,30,2
kh,0.801578947368421,30,2
geo,0.6857894736842105,50,2
hop,0.8647368421052631,50,2
iid,0.8021052631578947,50,2
kh,0.874736842105263,50,2
geo,0.6989473684210525,15,2
hop,0.6468421052631579,15,2
iid,0.8005263157894736,15,2
kh,0.7921052631578946,15,2
geo,0.6047368421052631,30,2
hop,0.741578947368421,30,2
iid,0.7694736842105263,30,2
kh,0.7505263157894737,30,2
geo,0.6878947368421052,50,2
hop,0.8226315789473684,50,2
iid,0.7515789473684211,50,2
kh,0.8126315789473685,50,2
geo,0.5726315789473684,15,2
hop,0.7105263157894737,15,2
iid,0.741578947368421,15,2
kh,0.7821052631578947,15,2
geo,0.6557894736842105,30,2
hop,0.7494736842105263,30,2
iid,0.8226315789473684,30,2
kh,0.801578947368421,30,2
geo,0.7489473684210527,50,2
hop,0.8447368421052632,50,2
iid,0.7805263157894736,50,2
kh,0.8426315789473684,50,2
geo,0.6242105263157894,15,2
hop,0.74,15,2
iid,0.7494736842105263,15,2
kh,0.7910526315789473,15,2
geo,0.6557894736842105,30,2
hop,0.781578947368421,30,2
iid,0.8226315789473684,30,2
kh,0.843157894736842,30,2
geo,0.6578947368421053,50,2
hop,0.8963157894736842,50,2
iid,0.7821052631578947,50,2
kh,0.8757894736842106,50,2
geo,0.6457894736842105,15,2
hop,0.751578947368421,15,2
iid,0.7494736842105263,15,2
kh,0.8021052631578947,15,2
geo,0.6863157894736842,30,2
hop,0.781578947368421,30,2
iid,0.7931578947368421,30,2
kh,0.8542105263157895,30,2
geo,0.7694736842105263,50,2
hop,0.8647368421052631,50,2
iid,0.7605263157894736,50,2
kh,0.8757894736842106,50,2
geo,0.5826315789473684,15,2
hop,0.7926315789473684,15,2
iid,0.8542105263157895,15,2
kh,0.8126315789473685,15,2
geo,0.6773684210526316,30,2
hop,0.853157894736842,30,2
iid,0.8126315789473685,30,2
kh,0.8547368421052631,30,2
geo,0.75,50,2
hop,0.8757894736842106,50,2
iid,0.8226315789473684,50,2
kh,0.8952631578947369,50,2
geo,0.6036842105263158,15,2
hop,0.7610526315789474,15,2
iid,0.73,15,2
kh,0.8236842105263158,15,2
geo,0.6557894736842105,30,2
hop,0.8236842105263158,30,2
iid,0.8247368421052631,30,2
kh,0.8126315789473685,30,2
geo,0.761578947368421,50,2
hop,0.8552631578947368,50,2
iid,0.8342105263157894,50,2
kh,0.8647368421052631,50,2
geo,0.5621052631578947,15,2
hop,0.718421052631579,15,2
iid,0.7921052631578946,15,2
kh,0.8026315789473685,15,2
geo,0.6463157894736842,30,2
hop,0.8021052631578947,30,2
iid,0.7405263157894737,30,2
kh,0.8852631578947369,30,2
geo,0.6568421052631579,50,2
hop,0.8847368421052633,50,2
iid,0.7605263157894736,50,2
kh,0.8752631578947367,50,2
geo,0.5421052631578946,15,2
hop,0.708421052631579,15,2
iid,0.8326315789473684,15,2
kh,0.8421052631578947,15,2
geo,0.6573684210526316,30,2
hop,0.7478947368421053,30,2
iid,0.7489473684210526,30,2
kh,0.7810526315789474,30,2
geo,0.7210526315789474,50,2
hop,0.8447368421052632,50,2
iid,0.8336842105263157,50,2
kh,0.8536842105263158,50,2
geo,0.6036842105263158,15,2
hop,0.7505263157894737,15,2
iid,0.7484210526315789,15,2
kh,0.801578947368421,15,2
geo,0.6778947368421052,30,2
hop,0.7394736842105263,30,2
iid,0.718421052631579,30,2
kh,0.8331578947368421,30,2
geo,0.7594736842105263,50,2
hop,0.8426315789473684,50,2
iid,0.7905263157894737,50,2
kh,0.8652631578947367,50,2
geo,0.5726315789473684,15,2
hop,0.7484210526315789,15,2
iid,0.7510526315789473,15,2
kh,0.7805263157894736,15,2
geo,0.5831578947368421,30,2
hop,0.7926315789473685,30,2
iid,0.8236842105263158,30,2
kh,0.8021052631578947,30,2
geo,0.771578947368421,50,2
hop,0.8321052631578947,50,2
iid,0.8005263157894736,50,2
kh,0.8742105263157894,50,2
geo,0.5826315789473684,15,2
hop,0.7705263157894737,15,2
iid,0.7810526315789474,15,2
kh,0.7294736842105263,15,2
geo,0.708421052631579,30,2
hop,0.7931578947368421,30,2
iid,0.75,30,2
kh,0.8431578947368422,30,2
geo,0.791578947368421,50,2
hop,0.8536842105263158,50,2
iid,0.8531578947368421,50,2
kh,0.8121052631578948,50,2
geo,0.5310526315789474,15,2
hop,0.7194736842105263,15,2
iid,0.801578947368421,15,2
kh,0.8021052631578947,15,2
geo,0.6242105263157894,30,2
hop,0.8342105263157894,30,2
iid,0.8436842105263158,30,2
kh,0.8221052631578948,30,2
geo,0.6463157894736842,50,2
hop,0.8547368421052631,50,2
iid,0.8857894736842106,50,2
kh,0.8752631578947367,50,2
geo,0.5547368421052632,15,2
hop,0.7105263157894737,15,2
iid,0.771578947368421,15,2
kh,0.7726315789473684,15,2
geo,0.7068421052631579,30,2
hop,0.8126315789473685,30,2
iid,0.7494736842105263,30,2
kh,0.8436842105263157,30,2
geo,0.801578947368421,50,2
hop,0.8331578947368421,50,2
iid,0.8636842105263158,50,2
kh,0.8742105263157894,50,2
geo,0.5531578947368421,15,2
hop,0.7110526315789474,15,2
iid,0.7284210526315789,15,2
kh,0.8021052631578947,15,2
geo,0.6994736842105264,30,2
hop,0.8131578947368421,30,2
iid,0.8247368421052631,30,2
kh,0.8452631578947368,30,2
geo,0.6989473684210527,50,2
hop,0.8236842105263158,50,2
iid,0.8131578947368421,50,2
kh,0.8226315789473684,50,2
geo,0.6036842105263158,15,2
hop,0.7078947368421052,15,2
iid,0.8431578947368422,15,2
kh,0.8221052631578948,15,2
geo,0.6352631578947368,30,2
hop,0.811578947368421,30,2
iid,0.8426315789473684,30,2
kh,0.8957894736842105,30,2
geo,0.6657894736842105,50,2
hop,0.8247368421052631,50,2
iid,0.853157894736842,50,2
kh,0.8342105263157894,50,2
geo,0.5736842105263158,15,2
hop,0.7289473684210526,15,2
iid,0.7610526315789474,15,2
kh,0.8215789473684211,15,2
geo,0.6873684210526315,30,2
hop,0.7689473684210526,30,2
iid,0.8347368421052632,30,2
kh,0.8952631578947369,30,2
geo,0.6984210526315789,50,2
hop,0.8110526315789472,50,2
iid,0.8226315789473684,50,2
kh,0.8236842105263158,50,2
geo,0.6252631578947369,15,2
hop,0.6242105263157894,15,2
iid,0.8763157894736843,15,2
kh,0.8236842105263158,15,2
geo,0.6463157894736842,30,2
hop,0.7921052631578946,30,2
iid,0.8026315789473685,30,2
kh,0.8757894736842106,30,2
geo,0.8026315789473684,50,2
hop,0.75,50,2
iid,0.8652631578947367,50,2
kh,0.8547368421052631,50,2
geo,0.5757894736842105,15,2
hop,0.6868421052631579,15,2
iid,0.8647368421052631,15,2
kh,0.8336842105263157,15,2
geo,0.7068421052631579,30,2
hop,0.7605263157894736,30,2
iid,0.8336842105263157,30,2
kh,0.8752631578947367,30,2
geo,0.728421052631579,50,2
hop,0.7699999999999999,50,2
iid,0.8431578947368422,50,2
kh,0.8542105263157895,50,2
geo,0.6347368421052632,15,2
hop,0.6863157894736842,15,2
iid,0.8647368421052631,15,2
kh,0.8115789473684212,15,2
geo,0.6768421052631579,30,2
hop,0.8131578947368421,30,2
iid,0.8947368421052632,30,2
kh,0.9273684210526316,30,2
geo,0.7621052631578947,50,2
hop,0.8547368421052631,50,2
iid,0.8431578947368422,50,2
kh,0.8652631578947367,50,2
geo,0.5826315789473684,15,2
hop,0.6678947368421053,15,2
iid,0.7910526315789473,15,2
kh,0.718421052631579,15,2
geo,0.6252631578947369,30,2
hop,0.7931578947368421,30,2
iid,0.8463157894736841,30,2
kh,0.8242105263157894,30,2
geo,0.6873684210526315,50,2
hop,0.8226315789473684,50,2
iid,0.8342105263157894,50,2
kh,0.8452631578947368,50,2
geo,0.5731578947368421,15,2
hop,0.5963157894736841,15,2
iid,0.8321052631578947,15,2
kh,0.8236842105263158,15,2
geo,0.6773684210526316,30,2
hop,0.7605263157894736,30,2
iid,0.7905263157894737,30,2
kh,0.8631578947368421,30,2
geo,0.6994736842105264,50,2
hop,0.8852631578947369,50,2
iid,0.8952631578947369,50,2
kh,0.8321052631578947,50,2
geo,0.5736842105263158,15,2
hop,0.6773684210526316,15,2
iid,0.8952631578947369,15,2
kh,0.8010526315789473,15,2
geo,0.6347368421052632,30,2
hop,0.8021052631578947,30,2
iid,0.8121052631578948,30,2
kh,0.801578947368421,30,2
geo,0.76,50,2
hop,0.8231578947368421,50,2
iid,0.8657894736842104,50,2
kh,0.8342105263157894,50,2
geo,0.4468421052631578,15,2
hop,0.5931578947368421,15,2
iid,0.8210526315789473,15,2
kh,0.7068421052631579,15,2
geo,0.6547368421052632,30,2
hop,0.7926315789473685,30,2
iid,0.8242105263157894,30,2
kh,0.8552631578947368,30,2
geo,0.6894736842105262,50,2
hop,0.8431578947368422,50,2
iid,0.8852631578947369,50,2
kh,0.801578947368421,50,2
geo,0.5621052631578947,15,2
hop,0.7273684210526316,15,2
iid,0.791578947368421,15,2
kh,0.8242105263157894,15,2
geo,0.6457894736842105,30,2
hop,0.71,30,2
iid,0.8857894736842106,30,2
kh,0.8326315789473684,30,2
geo,0.698421052631579,50,2
hop,0.8131578947368421,50,2
iid,0.8326315789473684,50,2
kh,0.8426315789473684,50,2
geo,0.571578947368421,15,2
hop,0.6563157894736842,15,2
iid,0.8442105263157895,15,2
kh,0.8126315789473685,15,2
geo,0.6873684210526315,30,2
hop,0.7394736842105263,30,2
iid,0.8957894736842105,30,2
kh,0.875263157894737,30,2
geo,0.7305263157894737,50,2
hop,0.8131578947368421,50,2
iid,0.75,50,2
kh,0.8431578947368422,50,2
geo,0.6142105263157894,15,2
hop,0.6352631578947368,15,2
iid,0.781578947368421,15,2
kh,0.6968421052631578,15,2
geo,0.6657894736842105,30,2
hop,0.8115789473684212,30,2
iid,0.8742105263157894,30,2
kh,0.8636842105263158,30,2
geo,0.6363157894736842,50,2
hop,0.7910526315789473,50,2
iid,0.8526315789473685,50,2
kh,0.9063157894736842,50,2
geo,0.6252631578947369,15,2
hop,0.7410526315789474,15,2
iid,0.8742105263157894,15,2
kh,0.7694736842105263,15,2
geo,0.6336842105263158,30,2
hop,0.7810526315789474,30,2
iid,0.8547368421052631,30,2
kh,0.7921052631578946,30,2
geo,0.6026315789473684,50,2
hop,0.8636842105263158,50,2
iid,0.8221052631578948,50,2
kh,0.8642105263157894,50,2
geo,0.5421052631578946,15,2
hop,0.6131578947368421,15,2
iid,0.8331578947368421,15,2
kh,0.7910526315789473,15,2
geo,0.6873684210526315,30,2
hop,0.7905263157894737,30,2
iid,0.8526315789473685,30,2
kh,0.874736842105263,30,2
geo,0.7594736842105263,50,2
hop,0.8342105263157894,50,2
iid,0.8536842105263158,50,2
kh,0.8557894736842104,50,2
geo,0.49842105263157893,15,2
hop,0.6657894736842105,15,2
iid,0.8536842105263158,15,2
kh,0.8536842105263158,15,2
geo,0.7210526315789474,30,2
hop,0.7810526315789474,30,2
iid,0.8652631578947367,30,2
kh,0.8752631578947367,30,2
geo,0.7278947368421053,50,2
hop,0.8426315789473684,50,2
iid,0.8736842105263157,50,2
kh,0.8447368421052632,50,2
