Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.822916667,[0.25       0.17708333 0.38541667 0.1875    ],43
1,2,2,kh_hyperparam,0.854166667,[0.42708333 0.20833333 0.22916667 0.13541667],44
1,2,3,kh_hyperparam,0.864583333,[0.5        0.05208333 0.30208333 0.14583333],47
1,2,4,kh_hyperparam,0.895833333,[0.36458333 0.32291667 0.28125    0.03125   ],44
1,2,5,kh_hyperparam,0.895833333,[0.38541667 0.19791667 0.1875     0.22916667],46
1,3,1,kh_hyperparam,0.854166667,[0.375      0.13541667 0.34375    0.14583333],46
1,3,2,kh_hyperparam,0.833333333,[0.47916667 0.16666667 0.20833333 0.14583333],42
1,3,3,kh_hyperparam,0.854166667,[0.30208333 0.17708333 0.33333333 0.1875    ],44
2,1,1,kh_hyperparam,0.864583333,[0.55208333 0.11458333 0.25       0.08333333],45
2,1,2,kh_hyperparam,0.84375,[0.54166667 0.125      0.20833333 0.125     ],47
2,1,3,kh_hyperparam,0.854166667,[0.5625     0.13541667 0.1875     0.11458333],42
2,1,4,kh_hyperparam,0.885416667,[0.55208333 0.15625    0.23958333 0.05208333],41
2,1,5,kh_hyperparam,0.895833333,[0.55208333 0.16666667 0.20833333 0.07291667],42
2,3,1,kh_hyperparam,0.875,[0.30208333 0.17708333 0.3125     0.20833333],48
2,3,2,kh_hyperparam,0.885416667,[0.375      0.08333333 0.27083333 0.27083333],45
2,3,3,kh_hyperparam,0.895833333,[0.53125    0.13541667 0.21875    0.11458333],44
2,3,4,kh_hyperparam,0.833333333,[0.44791667 0.16666667 0.22916667 0.15625   ],44
2,3,5,kh_hyperparam,0.885416667,[0.34375    0.22916667 0.16666667 0.26041667],43
3,1,1,kh_hyperparam,0.854166667,[0.5        0.27083333 0.15625    0.07291667],48
3,1,2,kh_hyperparam,0.875,[0.55208333 0.19791667 0.17708333 0.07291667],44
3,1,3,kh_hyperparam,0.854166667,[0.51041667 0.14583333 0.28125    0.0625    ],44
3,1,4,kh_hyperparam,0.885416667,[0.51041667 0.16666667 0.28125    0.04166667],47
