Sketch1,Sketch2,Trial #,Method,Acc
1,2,1,iid,0.55
1,2,1,geo,0.5
1,2,1,hop,0.65
1,2,1,kh,0.7
1,2,2,iid,0.45
1,2,2,geo,0.55
1,2,2,hop,0.6
1,2,2,kh,0.75
1,2,3,iid,0.55
1,2,3,geo,0.55
1,2,3,hop,0.45
1,2,3,kh,0.8
1,2,4,iid,0.55
1,2,4,geo,0.55
1,2,4,hop,0.55
1,2,4,kh,0.75
1,2,5,iid,0.5
1,2,5,geo,0.7
1,2,5,hop,0.5
1,2,5,kh,0.7
1,3,1,iid,0.65
1,3,1,geo,0.6
1,3,1,hop,0.75
1,3,1,kh,0.6
1,3,2,iid,0.55
1,3,2,geo,0.55
1,3,2,hop,0.45
1,3,2,kh,0.5
1,3,3,iid,0.65
1,3,3,geo,0.7
1,3,3,hop,0.6
1,3,3,kh,0.7
1,3,4,iid,0.6
1,3,4,geo,0.5
1,3,4,hop,0.6
1,3,4,kh,0.5
1,3,5,iid,0.85
1,3,5,geo,0.5
1,3,5,hop,0.45
1,3,5,kh,0.5
2,1,1,iid,0.55
2,1,1,geo,0.6
2,1,1,hop,0.4
2,1,1,kh,0.6
2,1,2,iid,0.7
2,1,2,geo,0.5
2,1,2,hop,0.55
2,1,2,kh,0.65
2,1,3,iid,0.65
2,1,3,geo,0.55
2,1,3,hop,0.7
2,1,3,kh,0.6
2,1,4,iid,0.7
2,1,4,geo,0.4
2,1,4,hop,0.55
2,1,4,kh,0.55
2,1,5,iid,0.65
2,1,5,geo,0.65
2,1,5,hop,0.45
2,1,5,kh,0.55
2,3,1,iid,0.7
2,3,1,geo,0.5
2,3,1,hop,0.55
2,3,1,kh,0.5
2,3,2,iid,0.65
2,3,2,geo,0.55
2,3,2,hop,0.7
2,3,2,kh,0.6
2,3,3,iid,0.65
2,3,3,geo,0.6
2,3,3,hop,0.45
2,3,3,kh,0.45
2,3,4,iid,0.6
2,3,4,geo,0.55
2,3,4,hop,0.4
2,3,4,kh,0.55
2,3,5,iid,0.55
2,3,5,geo,0.6
2,3,5,hop,0.55
2,3,5,kh,0.6
3,1,1,iid,0.6
3,1,1,geo,0.75
3,1,1,hop,0.5
3,1,1,kh,0.6
3,1,2,iid,0.6
3,1,2,geo,0.55
3,1,2,hop,0.45
3,1,2,kh,0.75
3,1,3,iid,0.7
3,1,3,geo,0.8
3,1,3,hop,0.45
3,1,3,kh,0.5
3,1,4,iid,0.55
3,1,4,geo,0.65
3,1,4,hop,0.55
3,1,4,kh,0.65
3,1,5,iid,0.8
3,1,5,geo,0.55
3,1,5,hop,0.5
3,1,5,kh,0.65
3,2,1,iid,0.5
3,2,1,geo,0.6
3,2,1,hop,0.55
3,2,1,kh,0.75
3,2,2,iid,0.55
3,2,2,geo,0.55
3,2,2,hop,0.55
3,2,2,kh,0.75
3,2,3,iid,0.7
3,2,3,geo,0.5
3,2,3,hop,0.45
3,2,3,kh,0.8
3,2,4,iid,0.65
3,2,4,geo,0.55
3,2,4,hop,0.5
3,2,4,kh,0.75
3,2,5,iid,0.6
3,2,5,geo,0.65
3,2,5,hop,0.5
3,2,5,kh,0.65
