Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.5333333333333333,[0.15555556 0.51111111 0.04444444 0.28888889],26
1,2,2,kh_hyperparam,0.6888888888888889,[0.13333333 0.22222222 0.2        0.44444444],23
1,2,3,kh_hyperparam,0.6,[0.37777778 0.24444444 0.35555556 0.02222222],19
1,2,4,kh_hyperparam,0.5333333333333333,[0.24444444 0.28888889 0.17777778 0.28888889],20
1,2,5,kh_hyperparam,0.6222222222222222,[0.35555556 0.4        0.08888889 0.15555556],22
1,3,1,kh_hyperparam,0.6222222222222222,[0.28888889 0.31111111 0.33333333 0.06666667],20
1,3,2,kh_hyperparam,0.6666666666666666,[0.33333333 0.26666667 0.31111111 0.08888889],24
1,3,3,kh_hyperparam,0.6,[0.35555556 0.2        0.33333333 0.11111111],25
1,3,4,kh_hyperparam,0.6444444444444445,[0.17777778 0.26666667 0.33333333 0.22222222],23
1,3,5,kh_hyperparam,0.5555555555555556,[0.44444444 0.15555556 0.11111111 0.28888889],23
2,1,1,kh_hyperparam,0.5777777777777777,[0.02222222 0.53333333 0.33333333 0.11111111],20
2,1,2,kh_hyperparam,0.5333333333333333,[0.15555556 0.37777778 0.44444444 0.02222222],18
2,1,3,kh_hyperparam,0.5333333333333333,[0.6        0.15555556 0.13333333 0.11111111],20
2,1,4,kh_hyperparam,0.6222222222222222,[0.51111111 0.2        0.22222222 0.06666667],22
2,1,5,kh_hyperparam,0.6222222222222222,[0.11111111 0.26666667 0.44444444 0.17777778],22
2,3,1,kh_hyperparam,0.6888888888888889,[0.22222222 0.35555556 0.26666667 0.15555556],21
2,3,2,kh_hyperparam,0.5777777777777777,[0.51111111 0.06666667 0.15555556 0.26666667],24
2,3,3,kh_hyperparam,0.5333333333333333,[0.6        0.2        0.13333333 0.06666667],22
2,3,4,kh_hyperparam,0.5333333333333333,[0.53333333 0.2        0.13333333 0.13333333],22
2,3,5,kh_hyperparam,0.6444444444444445,[0.35555556 0.2        0.44444444 0.        ],19
3,1,1,kh_hyperparam,0.5333333333333333,[0.57777778 0.24444444 0.04444444 0.13333333],20
3,1,2,kh_hyperparam,0.5111111111111111,[0.68888889 0.06666667 0.17777778 0.06666667],21
3,1,3,kh_hyperparam,0.6222222222222222,[0.46666667 0.06666667 0.2        0.26666667],20
3,1,4,kh_hyperparam,0.5777777777777777,[0.22222222 0.51111111 0.24444444 0.02222222],22
3,1,5,kh_hyperparam,0.4666666666666667,[0.55555556 0.08888889 0.24444444 0.11111111],21
3,2,1,kh_hyperparam,0.6444444444444445,[0.51111111 0.06666667 0.33333333 0.08888889],27
3,2,2,kh_hyperparam,0.5777777777777777,[0.26666667 0.22222222 0.22222222 0.28888889],22
3,2,3,kh_hyperparam,0.5777777777777777,[0.51111111 0.17777778 0.13333333 0.17777778],24
3,2,4,kh_hyperparam,0.6,[0.33333333 0.33333333 0.13333333 0.2       ],23
3,2,5,kh_hyperparam,0.5555555555555556,[0.48888889 0.17777778 0.15555556 0.17777778],23
