Sketch1,Sketch2,Trial #,Method,Acc
1,2,1,iid,[0.68888889]
1,2,1,geo,[0.31111111]
1,2,1,hop,[0.35555556]
1,2,1,kh,[0.57777778]
1,2,2,iid,[0.68888889]
1,2,2,geo,[0.44444444]
1,2,2,hop,[0.48888889]
1,2,2,kh,[0.64444444]
1,2,3,iid,[0.66666667]
1,2,3,geo,[0.44444444]
1,2,3,hop,[0.6]
1,2,3,kh,[0.48888889]
1,2,4,iid,[0.62222222]
1,2,4,geo,[0.37777778]
1,2,4,hop,[0.51111111]
1,2,4,kh,[0.57777778]
1,2,5,iid,[0.62222222]
1,2,5,geo,[0.44444444]
1,2,5,hop,[0.44444444]
1,2,5,kh,[0.53333333]
1,3,1,iid,[0.57777778]
1,3,1,geo,[0.33333333]
1,3,1,hop,[0.42222222]
1,3,1,kh,[0.64444444]
1,3,2,iid,[0.48888889]
1,3,2,geo,[0.42222222]
1,3,2,hop,[0.6]
1,3,2,kh,[0.62222222]
1,3,3,iid,[0.6]
1,3,3,geo,[0.42222222]
1,3,3,hop,[0.53333333]
1,3,3,kh,[0.57777778]
1,3,4,iid,[0.6]
1,3,4,geo,[0.31111111]
1,3,4,hop,[0.55555556]
1,3,4,kh,[0.66666667]
1,3,5,iid,[0.62222222]
1,3,5,geo,[0.33333333]
1,3,5,hop,[0.55555556]
1,3,5,kh,[0.66666667]
2,1,1,iid,[0.46666667]
2,1,1,geo,[0.4]
2,1,1,hop,[0.51111111]
2,1,1,kh,[0.55555556]
2,1,2,iid,[0.57777778]
2,1,2,geo,[0.33333333]
2,1,2,hop,[0.46666667]
2,1,2,kh,[0.64444444]
2,1,3,iid,[0.6]
2,1,3,geo,[0.37777778]
2,1,3,hop,[0.42222222]
2,1,3,kh,[0.55555556]
2,1,4,iid,[0.55555556]
2,1,4,geo,[0.31111111]
2,1,4,hop,[0.44444444]
2,1,4,kh,[0.57777778]
2,1,5,iid,[0.48888889]
2,1,5,geo,[0.35555556]
2,1,5,hop,[0.37777778]
2,1,5,kh,[0.53333333]
2,3,1,iid,[0.57777778]
2,3,1,geo,[0.4]
2,3,1,hop,[0.48888889]
2,3,1,kh,[0.55555556]
2,3,2,iid,[0.6]
2,3,2,geo,[0.44444444]
2,3,2,hop,[0.35555556]
2,3,2,kh,[0.66666667]
2,3,3,iid,[0.48888889]
2,3,3,geo,[0.44444444]
2,3,3,hop,[0.44444444]
2,3,3,kh,[0.53333333]
2,3,4,iid,[0.62222222]
2,3,4,geo,[0.37777778]
2,3,4,hop,[0.57777778]
2,3,4,kh,[0.57777778]
2,3,5,iid,[0.51111111]
2,3,5,geo,[0.35555556]
2,3,5,hop,[0.57777778]
2,3,5,kh,[0.6]
3,1,1,iid,[0.53333333]
3,1,1,geo,[0.33333333]
3,1,1,hop,[0.62222222]
3,1,1,kh,[0.53333333]
3,1,2,iid,[0.57777778]
3,1,2,geo,[0.4]
3,1,2,hop,[0.44444444]
3,1,2,kh,[0.55555556]
3,1,3,iid,[0.46666667]
3,1,3,geo,[0.42222222]
3,1,3,hop,[0.48888889]
3,1,3,kh,[0.48888889]
3,1,4,iid,[0.48888889]
3,1,4,geo,[0.33333333]
3,1,4,hop,[0.4]
3,1,4,kh,[0.48888889]
3,1,5,iid,[0.51111111]
3,1,5,geo,[0.33333333]
3,1,5,hop,[0.57777778]
3,1,5,kh,[0.53333333]
3,2,1,iid,[0.64444444]
3,2,1,geo,[0.4]
3,2,1,hop,[0.44444444]
3,2,1,kh,[0.55555556]
3,2,2,iid,[0.66666667]
3,2,2,geo,[0.37777778]
3,2,2,hop,[0.33333333]
3,2,2,kh,[0.6]
3,2,3,iid,[0.6]
3,2,3,geo,[0.46666667]
3,2,3,hop,[0.44444444]
3,2,3,kh,[0.64444444]
3,2,4,iid,[0.64444444]
3,2,4,geo,[0.44444444]
3,2,4,hop,[0.35555556]
3,2,4,kh,[0.46666667]
3,2,5,iid,[0.71111111]
3,2,5,geo,[0.4]
3,2,5,hop,[0.4]
3,2,5,kh,[0.51111111]
